노드ID,노드명,노드유형코드,노드유형명,회전제한유무,회전제한유무명,X좌표,Y좌표,TM_X좌표,TM_Y좌표
1020017800,유미빌딩,101,도로교차점,1,유,126.9673857,37.5301493,197117.2236,447850.809
1020017900,한남주차장_한강진길_진출,101,도로교차점,1,유,127.0073065,37.5301927,200645.8179,447855.1534
1020018000,용산구청,101,도로교차점,0,무,126.9909773,37.530481,199202.4908,447887.1623
1020018100,정수기능대학,101,도로교차점,0,무,126.9967774,37.5303568,199715.1547,447873.3535
1020018200,찬우물삼거리,101,도로교차점,0,무,126.9914043,37.5305345,199240.2279,447893.0962
1020018300,한남대교북단,108,IC 및 JC,0,무,127.0129306,37.5317732,201142.9114,448030.6286
1020018400,이촌동길진입로,101,도로교차점,0,무,126.9545712,37.5306544,195984.5775,447907.3455
1020018500,한남주차장_남계천길_진입_2,101,도로교차점,0,무,127.0064362,37.5306733,200568.8926,447908.4937
1020018600,한남주차장_남계천길_진출,101,도로교차점,0,무,127.0067707,37.5307003,200598.4576,447911.49
1020018700,이촌동길진출로,101,도로교차점,0,무,126.9543147,37.5307599,195961.9102,447919.0615
1020018900,강변북로-용호로램프(3),108,IC 및 JC,0,무,126.9515851,37.530675,195720.6458,447909.7582
1020019100,삼구빌딩_이촌동길_진입_1,101,도로교차점,1,유,126.9547844,37.5310441,196003.4464,447950.5889
1020019200,강변북로-용호로램프(4),108,IC 및 JC,0,무,126.9511573,37.5310532,195682.8526,447951.7568
1020019300,원효로현대자동차서비스,101,도로교차점,0,무,126.9543442,37.5313613,195964.5534,447985.8074
1020019500,한남2고가차도(남측),104,도로시설물,0,무,127.0089144,37.5318071,200787.9279,448034.3475
1020019600,보광초교,101,도로교차점,1,유,126.9966744,37.5314058,199706.053,447989.7704
1020019700,원효로현대자동차서비스,101,도로교차점,0,무,126.9538668,37.5314062,195922.3642,447990.8152
1020019800,삼구빌딩_이촌동길_진입_2,101,도로교차점,0,무,126.9549714,37.5315077,196019.9989,448002.0336
1020020000,보광청화아파트,101,도로교차점,1,유,126.9950714,37.531522,199564.3683,448002.6821
1020020100,강변북로-용호로램프(5),108,IC 및 JC,0,무,126.9490557,37.5318418,195497.1409,448039.385
1020020200,삼구빌딩_용호로_진출_2,101,도로교차점,0,무,126.9548392,37.5316133,196008.3246,448013.7594
1020020300,용안카센타,101,도로교차점,0,무,126.9653584,37.5318317,196938.1004,448037.6052
1020020400,성촌공원,101,도로교차점,1,유,126.9556654,37.5319363,196081.3663,448049.5697
1020020500,원효로-용호로진출로,101,도로교차점,1,유,126.9539366,37.5322038,195928.5692,448079.3354
